kk	file	sample	muts_caveman	c20_genome	muts	corr_muts	c20_nanoseq_genome	obs_rate	corr_rate	donor	age	muts_per_cell
RESULT	CB002_1_NV.csv	PD45517b_lo0168	62	3604927272	10	10.93338	958788772	1.042983e-08	1.140332e-08	CB002_1_NV.csv	0	65.2572423816612
RESULT	CB002_1_NV.csv	PD45517b_lo0169	53	3394562334	13	14.05794	900357546	1.443871e-08	1.561373e-08	CB002_1_NV.csv	0	89.3519574204543
RESULT	CB002_1_NV.csv	PD45517b_lo0170	48	2466070204	5	5.227666	648597708	7.708939e-09	8.059951e-09	CB002_1_NV.csv	0	46.1243020446074
RESULT	CB002_1_NV.csv	PD45517b_lo0171	59	3891820146	12	12.77031	1032282152	1.162473e-08	1.237095e-08	CB002_1_NV.csv	0	70.7946530169645
RESULT	CB002_1_NV.csv	PD45517b_lo0172	59	4336186218	13	14.11691	1155939886	1.124626e-08	1.221249e-08	CB002_1_NV.csv	0	69.8878414368459
RESULT	CB002_1_NV.csv	PD45517b_lo0173	72	4631105448	15	16.29145	1235263020	1.214316e-08	1.318865e-08	CB002_1_NV.csv	0	75.4740663014715
RESULT	CB002_1_NV.csv	PD45517b_lo0174	71	3782553902	14	16.27414	999599034	1.400562e-08	1.628067e-08	CB002_1_NV.csv	0	93.1686235522497
RESULT	CB002_1_NV.csv	PD45517b_lo0176	66	5221589128	12	12.84654	1398490988	8.580677e-09	9.186003e-09	CB002_1_NV.csv	0	52.5683067992187
RESULT	CB002_1_NV.csv	PD45517b_lo0177	63	4470022396	16	16.44743	1190582618	1.34388e-08	1.381461e-08	CB002_1_NV.csv	0	79.0562181170151
RESULT	CB002_1_NV.csv	PD45517b_lo0178	54	4270405484	13	14.45025	1137939368	1.142416e-08	1.269861e-08	CB002_1_NV.csv	0	72.6697374694551
RESULT	CB002_1_NV.csv	PD45517b_lo0186	54	2264288102	8	7.876744	602729726	1.327295e-08	1.306845e-08	CB002_1_NV.csv	0	74.7862034216895
RESULT	CB002_1_NV.csv	PD45517b_lo0254	57	3076846352	13	14.01704	815222630	1.594656e-08	1.719412e-08	CB002_1_NV.csv	0	98.3959808528892
RESULT	2181/mutation_calls.csv	PD45534c	1405	4395621746	314	332.0676	1162825196	2.70032e-07	2.855697e-07	2181/mutation_calls.csv	77	1634.21627471283
RESULT	2181/mutation_calls.csv	PD45534g	1341	4002408844	296	319.6649	1070262826	2.765676e-07	2.986789e-07	2181/mutation_calls.csv	77	1709.2356762406
RESULT	2181/mutation_calls.csv	PD45534m	1439	4920345618	349	369.5536	1307397150	2.669426e-07	2.826636e-07	2181/mutation_calls.csv	77	1617.58567309108
RESULT	2181/mutation_calls.csv	PD45534o	1489	4447845602	298	316.3393	1182767624	2.519514e-07	2.674568e-07	2181/mutation_calls.csv	77	1530.56243481929
RESULT	2181/mutation_calls.csv	PD45534rg	1392	5062403952	349	372.0235	1345291202	2.594234e-07	2.765375e-07	2181/mutation_calls.csv	77	1582.52812909912
RESULT	2181/mutation_calls.csv	PD45534ry	1229	3957420096	248	261.3169	1054797954	2.351161e-07	2.477412e-07	2181/mutation_calls.csv	77	1417.73689910689
RESULT	2181/mutation_calls.csv	PD45534sa	1275	4111037058	280	301.5516	1105920398	2.531828e-07	2.726702e-07	2181/mutation_calls.csv	77	1560.39691350028
RESULT	2181/mutation_calls.csv	PD45534sl	1397	4215837190	297	319.0834	1102663384	2.693478e-07	2.893752e-07	2181/mutation_calls.csv	77	1655.99383036183
RESULT	2181/mutation_calls.csv	PD45534ug	1342	4142880168	285	300.3314	1107134270	2.574214e-07	2.712692e-07	2181/mutation_calls.csv	77	1552.37947677337
RESULT	2181/mutation_calls.csv	PD45534us	1337	3884384238	270	288.5135	1029233836	2.623311e-07	2.803187e-07	2181/mutation_calls.csv	77	1604.16662428242
